pred,real
4926.89594956,5000.0
1748.96405416,1800.0
6095.25428881,5700.0
12342.769376,11900.0
4926.89594956,5000.0
12533.6576159,11888.0
6505.96154927,6500.0
952.94977068,500.0
3040.33603685,2500.0
16187.0008539,16499.0
5430.05858886,6400.0
3612.30594412,2225.0
1732.87311418,700.0
9297.29445896,8999.0
893.004751211,2500.0
15136.6654708,17994.0
2385.31845373,2350.0
11114.2922103,12888.0
3367.42261248,3800.0
10915.1846579,10493.0
9666.24563785,11988.0
4782.94489622,4800.0
13290.2484457,15995.0
4926.89594956,5000.0
3167.21411282,4000.0
11337.2167562,11950.0
8071.441461,7000.0
9143.1735248,17500.0
4190.60007299,3875.0
14705.0224737,14980.0
10237.6986468,9500.0
2436.53027555,500.0
2845.92549676,2800.0
11448.2390753,11995.0
5786.88646195,6500.0
19612.1907416,22228.0
2559.27695713,2000.0
15783.5077763,16500.0
8717.72956078,175.0
15851.0219035,15000.0
4163.40708089,5555.0
14313.0221735,15999.0
5788.62905486,6000.0
11020.7430816,9300.0
2267.31507907,3500.0
8363.48882556,8200.0
3237.86184222,5000.0
3127.6476233,3975.0
5209.25911425,5998.0
14537.6630994,14980.0
1776.40546729,2199.0
11833.306789,12000.0
12623.6312332,14500.0
12021.4101285,11981.0
